subtype,method_set,row,component_type,2013-S,2013-N,2014-S,2014-N,2015-S,2015-N,2016-S,2016-N,2017-S,2017-N,2018-S,2018-N,2019-S,2019-N,2020-S,2020-N,2021-S,2021-N,2022-S,2022-N,2023-S,2023-N,2024-S,2024-N
H1N1,fit,FutureFlu E fit,single,OK,OK,OK,OK,OK,OK,X,X,X,X,X,X,X,X,X,X,X,X,OK,OK,X,OK,OK,X
H1N1,fit,FutureFlu G fit,single,OK,OK,OK,OK,OK,OK,OK,X,OK,X,X,X,X,X,X,OK,X,OK,X,OK,OK,X,X,OK
H1N1,fit,FutureFlu D fit,single,OK,OK,OK,OK,OK,OK,OK,OK,OK,X,X,X,X,X,X,X,X,OK,X,X,X,OK,OK,OK
H1N1,fit,FutureFlu E+G fit,two,OK,OK,OK,OK,OK,OK,OK,X,OK,X,X,X,X,X,X,OK,X,OK,X,OK,OK,X,X,OK
H1N1,fit,FutureFlu E+D fit,two,OK,OK,OK,OK,OK,OK,OK,OK,OK,X,X,X,X,X,X,X,X,OK,X,OK,X,OK,OK,X
H1N1,fit,FutureFlu G+D fit,two,OK,OK,OK,OK,OK,OK,OK,OK,OK,X,X,X,X,X,X,OK,X,OK,X,OK,OK,OK,OK,OK
H1N1,fit,FutureFlu E+G+D fit,three,OK,OK,OK,OK,OK,OK,OK,OK,OK,X,X,X,X,X,X,OK,X,OK,X,OK,OK,OK,OK,OK
H1N1,fit,EVEscape total_escape,evescape_single_component,OK,OK,OK,OK,OK,OK,X,X,X,X,X,X,X,X,X,X,X,X,OK,OK,X,OK,OK,X
H1N1,fit,EVEscape fitness_eve,evescape_single_component,OK,OK,OK,OK,OK,OK,X,X,X,X,X,X,X,X,X,X,X,X,OK,X,X,OK,OK,X
H1N1,fit,EVEscape dissimilarity_charge_hydro,evescape_single_component,OK,OK,OK,OK,OK,OK,OK,X,X,X,X,X,X,X,X,X,X,X,OK,OK,X,X,OK,X
H1N1,fit,EVEscape accessibility_wcn,evescape_single_component,OK,OK,OK,OK,OK,OK,X,X,X,X,X,X,X,X,X,X,X,X,OK,X,X,OK,OK,X
H1N1,fit,EVEscape antigenic_novelty,evescape_single_component,OK,OK,OK,OK,OK,X,OK,X,X,X,X,X,X,X,X,OK,OK,X,X,X,OK,X,X,X
