subtype,hemisphere,year,clade_single,fit_total_escape,fit_predicted_prevalence,fit_mutual_information,fit_dissimilarity_charge_hydro,fit_accessibility_wcn,fit_fitness_eve,fit_antigenic_novelty
H3N2,north,2013,3C.2,3.7081675,0.08965,0.5555555555555556,6.3710259,1.2571097,16.511687000000002,0.0
H3N2,north,2013,3C.3a,3.435046,0.2932,0.9090909090909092,6.1583995,2.3182897,28.107756700000003,0.0
H3N2,north,2014,3C.3a,3.8627599999999997,0.16015,0.0920937056834195,3.3580429,1.9164546999999996,21.8399664,12.372027571602702
H3N2,north,2015,3C.2,1.787551726,0.119,1.0,6.0662825,0.8431445000000002,11.909424,41.09909230470708
H3N2,north,2015,3C.3a,12.232396525999999,0.13675,0.3142592406953305,15.205802599999998,5.0595322000000005,84.57660010000002,44.20701121371136
H3N2,north,2016,3C.2,5.457473365,0.06415,0.9615384615384616,5.0898424,2.0581064,30.912476600000005,44.27162947946893
H3N2,north,2016,3C.2a,1.9726346399999999,0.2083,0.9803921568627452,2.621107,0.9826647000000002,9.482239,73.99774635548287
H3N2,north,2017,3C.2,8.8163590525,0.10442,0.1193136337194787,9.9083183,4.040142899999998,48.1291197,49.51990982772063
H3N2,north,2017,3C.2a,2.835916395,0.07,0.9565217391304348,1.2712145,1.3654907999999997,14.3296204,45.38683330150703
H3N2,north,2017,3C.2a1,5.10568515,0.3345,0.0493011650991097,8.3607529,2.568763399999999,32.1198425,78.26140741183133
H3N2,north,2017,3C.2a2,5.040572214999999,0.0977666666666666,0.2316380768127676,8.5584258,2.8670527999999997,31.6720581,122.96346848839788
H3N2,north,2017,3C.2a3,6.9633455,0.3465,0.1067564384471649,8.5449868,3.3970403,45.5158993,67.07581451791974
H3N2,north,2017,3C.3a,13.7056826185,0.0793,0.3022353038383433,8.2770902,5.770252599999997,82.5775144,138.88060403806122
H3N2,north,2018,3C.2,8.6399155,0.0408,1.0,10.0322976,3.8211385999999994,58.6019567,105.5199764207568
H3N2,north,2018,3C.2a1,7.47277555,0.1479,0.085439917582269,9.7425077,2.6076789,47.96606250000001,78.75756946711303
H3N2,north,2018,3C.2a1b.1,6.99275645,0.19005,0.2155412016827839,11.345343499999998,3.3313752999999995,51.3335246,201.77380186554407
H3N2,north,2018,3C.2a2,5.0298444,0.1169999999999999,1.0,5.2237907,2.4145835999999994,35.5649092,18.619412824251228
