scenario,dataset,strategy,combo,method,correct,total,accuracy,available_predictions
dms_total_escape_replacement,pe09,site_mean,E,fit,9,24,0.375,24
dms_total_escape_replacement,pe09,site_mean,E,freq,6,24,0.25,24
dms_total_escape_replacement,pe09,site_mean,G,fit,6,24,0.25,24
dms_total_escape_replacement,pe09,site_mean,G,freq,5,24,0.20833333333333334,24
dms_total_escape_replacement,pe09,site_mean,D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,site_mean,D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,site_mean,E+G,fit,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,site_mean,E+G,freq,6,24,0.25,24
dms_total_escape_replacement,pe09,site_mean,E+D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,site_mean,E+D,freq,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,site_mean,G+D,fit,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,site_mean,G+D,freq,7,24,0.2916666666666667,24
dms_total_escape_replacement,pe09,site_mean,E+G+D,fit,8,24,0.3333333333333333,24
dms_total_escape_replacement,pe09,site_mean,E+G+D,freq,7,24,0.2916666666666667,24
